Address,Area,Longitude,Latitude,Living area (m2),Rooms,Floor,Rent,Sold date,Listed price,Sold for (SEK),LongitudeXLatitude
Grevgatan 20,Östermalm,18.08450669,59.33344434,101,3,2,3451,2017-10-28,10900000,11400000,1073.01607110747
Beckomberga Allé 25,Bromma Beckomberga,17.90433803,59.35820173,128.5,4,4,5251,2017-10-28,6495000,6550000,1062.76930862685
Norrbackagatan 16,Birkastan,18.03252339,59.33889644,22,1,0.5,1204,2017-10-28,1995000,2300000,1070.03003799109
Lindhagensgatan 141,Kungsholmen-Hornsbergs Strand,18.00495661,59.33905805,89,3,6,5004,2017-10-28,6690000,6700000,1068.39716546852
Bageribacken 2,Katarina/Sofia,18.10869724,59.31370091,55,2,3,2947,2017-10-28,3495000,3780000,1074.0938519631
Högalidsgatan 36A,Södermalm,18.03790069,59.31831054,29,1,6,1917,2017-10-28,2580000,2830000,1069.9777946191
Smedsbacksgatan 8,Gärdet,18.1006,59.3471,34,1,1,1898,2017-10-28,2695000,2650000,1074.21811826
Tranebergsvägen 10,Bromma Traneberg,17.99060583,59.33449178,68,3,2,3697,2017-10-28,3995000,3995000,1067.46345373736
Åsögatan 164,Södermalm,18.08436205,59.313803,68,2.5,4,2187,2017-10-28,4750000,5100000,1072.65228801438
Tomtebogatan 23,Vasastan,18.03174731,59.34123438,96,3,3,2533,2017-10-28,8395000,9002000,1070.02614340364
Kirunagatan 23A,Hässelby-Vällingby,17.86211521,59.36570545,65,3,1,4668,2017-10-28,1975000,1975000,1060.39707027082
Fridhemsgatan 12,Kungsholmen,18.02763242,59.33071752,52,2,2.5,2318,2017-10-28,3995000,4475000,1069.59236666541
Petrejusvägen 18,Hammarbyhöjden,18.0955588,59.2977084,99,4,0,5338,2017-10-27,3995000,3995000,1073.02516905745
Östhammarsgatan 69,Gärdet,18.11159492,59.3436014,25.5,1,3,1458,2017-10-27,1995000,2400000,1074.80726965075
Sankt Eriksgatan 4,Kungsholmen,18.0292,59.32916,50,2,3,2921,2017-10-27,3995000,4400000,1069.657291472
Sten Bergmans väg 59,Hammarbyhöjden,18.10586572,59.29650051,61,2,3,3636,2017-10-27,3150000,3550000,1073.61447589997
Kristinebergsvägen 30,Kungsholmen,18.01405907,59.33314565,78,3,3,3619,2017-10-27,5150000,5425000,1068.83079054801
Furusundsgatan 15,Gärdet,18.09943155,59.34676005,60,3,8,3572,2017-10-27,4495000,5150000,1074.14262123925
